,Title,Description
10,"computer game developer - Vancouver, BC - Indeed.com","or equivalent experience
Programming Languages
C
C++
C#
Ability to Supervise
5-10 people
Computer and Technology Knowledge
Programming software
Programming languages
Software development
Personal Suitability
Initiative
Team player
Excellent oral communication
Excellent written communication
Reliability
Organized
Workplace information
Remote work available"
11,"computer programmer - Montréal, QC - Indeed.com","or equivalent experience
Business Equipment and Computer Applications
Eclipse
Specific Skills
Assist in the development of logical and physical specifications
Maintain existing computer programs by making modifications as required
Programming Languages
XML
Object-Oriented programming languages
Java
SQL
Python
React Native
Computer and Technology Knowledge
Database software
JavaOS
Programming software
Data analysis software
API
Personal Suitability
Initiative
Effective interpersonal skills
Accurate
Team player
Excellent oral communication
Judgement
Organized
Benefits
Medical Benefits
Dental Benefits
Group Insurance Benefits
Life Insurance Benefits
Vision Care Benefits"
12,"computer programmer - Abbotsford, BC - Indeed.com","Specific Skills
Write, modify, integrate and test software code
Identify and communicate technical problems, processes and solutions
Prepare reports, manuals and other documentation on the status, operation and maintenance of software
Assist in the collection and documentation of user's requirements
Assist in the development of logical and physical specifications
Research and evaluate a variety of software products
Maintain existing computer programs by making modifications as required
Programming Languages
XML
PHP
MySQL
Java
JavaScript
JSP
HTML
DHTML
CSS
ASP
JQuery
C#
ASP.NET
Transportation/Travel Information
Own transportation
Work Conditions and Physical Capabilities
Work under pressure
Attention to detail
Sitting
Tight deadlines
Computer and Technology Knowledge
MS Windows
Internet
Database software
JavaOS
Networking software
Networking hardware
3D graphic software
Programming software
Software development
Website creation and management software
MS Office
Personal Suitability
Accurate
Team player
Excellent written communication
Organized"
13,"computer programmer - Abbotsford, BC - Indeed.com","Specific Skills
Write, modify, integrate and test software code
Identify and communicate technical problems, processes and solutions
Prepare reports, manuals and other documentation on the status, operation and maintenance of software
Assist in the collection and documentation of user's requirements
Assist in the development of logical and physical specifications
Research and evaluate a variety of software products
Maintain existing computer programs by making modifications as required
Programming Languages
XML
PHP
MySQL
Java
JavaScript
JSP
HTML
DHTML
CSS
ASP
JQuery
C#
ASP.NET
Transportation/Travel Information
Own transportation
Work Conditions and Physical Capabilities
Work under pressure
Attention to detail
Sitting
Tight deadlines
Computer and Technology Knowledge
MS Windows
Internet
Database software
JavaOS
Networking software
Networking hardware
3D graphic software
Programming software
Software development
Website creation and management software
MS Office
Personal Suitability
Accurate
Team player
Excellent written communication
Organized"
14,"Computer Application Programmer - Student - Burlington, ON - Indeed.com","The computer application programmer will be tasked to build and incorporate a web portal for prospective clients to search specified products and purchase online, as a way to support develop the company's online initiatives. Successful candidate must have experience programming.
Other needs of the role will be to assist with streamlining our online presence to properly utilize our online assets and brand.
Contract length: 8 weeks
Expected start date: 2021-11-15
Job Types: Full-time, Contract
Salary: $17.00 per hour
Schedule:
Monday to Friday
Work remotely:
Yes"
15,"computer software engineer - Quebec City, QC - Indeed.com","Work Setting
Manufacture
Startup company
Programming Languages
C
SQL
Python
Computer and Technology Knowledge
Programming languages
Software development
SQL
Cloud
Personal Suitability
Initiative
Effective interpersonal skills
Accurate
Team player
Judgement
Organized
Benefits
Medical Benefits
Disability Benefits
Group Insurance Benefits
Life Insurance Benefits
RRSP Benefits
Vision Care Benefits"
16,"Software Developer (Entry Level) - Toronto, ON - Indeed.com","Konrad
Konrad is a next generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard working people who are lifelong learners.
Software Developer (Entry Level)
As an entry level Software Developer you'll be tasked with working on both mobile and web applications. Working within the software development team, your duties will require you to assist in the development of consumer and enterprise applications. This role is ideal for entry level developers who feel confident in their technical ability and want to be a part of the highly-skilled development team at Konrad.
Responsibilities
Write maintainable, testable, and performant software in collaboration with our world class team
Participate in code review and performing extensive testing to ensure high quality software
Research new technology and tools and share those findings with the team
Communicate clearly and effectively with all members of our team
Successful candidates will have
Graduated from a Computer Science, Software Engineering, or similar program in a University or College
Strong command of important programming and computer science concepts
Ability to understand a web application and how it's built from end-to-end
Fundamental knowledge of core web principals (HTTP, the DOM, SSL, web servers)
Fluency with databases (schema design, querying, optimization etc.)
Great interpersonal skills - we work very closely together as a team and require a lot of communication
Proactive personality and a desire to deliver your best work.
Perks and Benefits
Mentorship Program
Socials, Outings & Retreats
Culture of Learning & Development
Annual tech & travel allowance
Comprehensive Health & Wellness Benefits Package
Retirement Planning
Flexible Working Hours
Work from Home Flexibility
Service Recognition Programs
Bonus Points:
Have you taken any courses at BrainStation? A lot of our design and development best practices and processes are taught during our courses - make sure to highlight this experience in your cover letter if you have!
Konrad is committed to maintaining a diverse work environment and is proud to be an equal opportunity employer. All qualified applicants, regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status will receive consideration for employment. If you have any accessibility requirements or concerns regarding the hiring process or employment with us, please notify us so we can provide suitable accommodation.
While we sincerely appreciate all applications, only those candidates selected for an interview will be contacted."
17,"computer programmer - Mississauga, ON - Indeed.com","or equivalent experience
Operating Systems and Software
Android
Business Equipment and Computer Applications
Microsoft Visual Studio
Eclipse
Work Setting
Consulting firm
Specific Skills
Write, modify, integrate and test software code
Identify and communicate technical problems, processes and solutions
Prepare reports, manuals and other documentation on the status, operation and maintenance of software
Assist in the collection and documentation of user's requirements
Assist in the development of logical and physical specifications
Research and evaluate a variety of software products
Program special effects software for film and video applications
Maintain existing computer programs by making modifications as required
Write, modify, integrate and test software code for e-commerce and other Internet applications
Programming Languages
Servlet
PHP
Java
JavaScript
JSP
HTML
DHTML
CSS
XML Technology (XSL,XSD,DTD)
Python
Angular.js
Hadoop
Work Conditions and Physical Capabilities
Fast-paced environment
Work under pressure
Repetitive tasks
Attention to detail
Sitting
Tight deadlines
Work Location Information
Relocation costs covered by employer
Computer and Technology Knowledge
Spreadsheet
MS Windows
Internet
JavaOS
Networking software
Mail server software
Project management software
Programming software
HTML editing software
Web service design
Software development
Website creation and management software
MS Office
API
Personal Suitability
Initiative
Effective interpersonal skills
Accurate
Team player
Excellent oral communication
Excellent written communication
Client focus
Judgement
Organized"
18,"software development programmer - Montréal, QC - Indeed.com","or equivalent experience
Specific Skills
Write, modify, integrate and test software code
Assist in the development of logical and physical specifications
Research and evaluate a variety of software products
Maintain existing computer programs by making modifications as required
Write, modify, integrate and test software code for e-commerce and other Internet applications
Programming Languages
JavaScript
SQL
C#
.NET
ASP.NET
Computer and Technology Knowledge
Database software
HTML editing software
Web service design
Software development
MS Office
Desktop applications
Workplace information
Remote work available
Benefits
Medical Benefits
Dental Benefits
Life Insurance Benefits
RRSP Benefits"
19,"programmer analyst - Montréal, QC - Indeed.com","or equivalent experience
Specific Skills
Write, modify, integrate and test software code
Prepare reports, manuals and other documentation on the status, operation and maintenance of software
Assist in the development of logical and physical specifications
Workplace information
Remote work available
Benefits
Medical Benefits
Dental Benefits
Life Insurance Benefits
RRSP Benefits"
20,"computer programmer - Calgary, AB - Indeed.com","Specific Skills
Write, modify, integrate and test software code
Identify and communicate technical problems, processes and solutions
Prepare reports, manuals and other documentation on the status, operation and maintenance of software
Assist in the collection and documentation of user's requirements
Assist in the development of logical and physical specifications
Research and evaluate a variety of software products
Program special effects software for film and video applications
Maintain existing computer programs by making modifications as required
Write, modify, integrate and test software code for e-commerce and other Internet applications
Work Conditions and Physical Capabilities
Fast-paced environment
Work under pressure
Repetitive tasks
Attention to detail
Tight deadlines
Computer and Technology Knowledge
TCP/IP
Spreadsheet
MS Windows
MS Office
Personal Suitability
Effective interpersonal skills
Accurate
Team player
Excellent oral communication
Excellent written communication
Organized"
21,"Software programmer, development & testing - Quebec City, QC - Indeed.com","Putting your expertise at the service of life sciences appeals to you?
Bliq Photonique is a company that designs and manufactures advanced microscopy systems used by life science researchers. Our goal is to provide these researchers with innovative tools to advance medical research.
Our team is growing, we currently have fifteen people, eight in the R&D team and three in the software development team. We are looking for a software programmer who is ready to tackle significant challenges in order to advance our products.
Our main software manages the high-performance data acquisition of our microscopes. We are looking for a junior person who can complement our R&D team in the area of application design and global architecture (GUI and backend). The successful candidate will be expected to act as a resource person with the R&D, software development team, share expertise and validate test units.
Profile required:
– You have a background in computer science (DEC or bachelor’s degree, any other relevant training or experience may be considered);
– You pay attention to details and you like to produce robust code;
– You like to share your knowledge by working in a team;
– You are resourceful, autonomous and interested in the agility of a small company;
– You are responsible and have a strong sense of initiative;
– You are interested in the Mac environment.
One or more of the following will be considered an asset
– Knowledge of Swift, SwiftUI, Objective-C and XCode for all code;
– Knowledge of MacOS and its frameworks;
– Strict use of unit testing, test automation;
– Management of microscope and laser peripherals (USB and PCIe).
Why join the Bliq Photonique team?
– To work with a team of experts in physics, biology and engineering in an atmosphere of cooperation and teamwork;
– For the culture of respect and listening where the management of schedules and work place are flexible;
– To participate in building a high potential technology company where we recognize that the ultimate value is in people;
– To give meaning to your work by developing tools that will help researchers find solutions to diseases;"
22,"software programmer - Etobicoke, ON - Indeed.com","or equivalent experience
Applications
Adobe Photoshop
Specific Skills
Write, modify, integrate and test software code
Identify and communicate technical problems, processes and solutions
Prepare reports, manuals and other documentation on the status, operation and maintenance of software
Maintain existing computer programs by making modifications as required
Write, modify, integrate and test software code for e-commerce and other Internet applications
Programming Languages
Object-Oriented programming languages
Java
JavaScript
JSP
HTML
C
C++
Applet
XML Technology (XSL,XSD,DTD)
SQL
Objective-C
React.js
Ruby on Rails
Transportation/Travel Information
Own transportation
Own vehicle
Willing to travel
Willing to travel regularly
Willing to travel cross-border
Willing to travel for extended periods
Willing to travel overnight
Valid driver's licence
Travel expenses paid by employer
Work Conditions and Physical Capabilities
Fast-paced environment
Work under pressure
Repetitive tasks
Attention to detail
Sitting
Tight deadlines
Work Location Information
Willing to relocate
Relocation costs covered by employer
Computer and Technology Knowledge
Spreadsheet
MS Windows
Internet
Database software
Intranet
Servers
File management software
Image editing software
Programming software
Software development
Data analysis software
MS Office
Business intelligence
Personal Suitability
Initiative
Effective interpersonal skills
Accurate
Team player
Excellent oral communication
Excellent written communication
Client focus
Judgement
Organized"
23,"Software Engineer - Intern/Co-op - Toronto, ON - Indeed.com","Job Description
Job Description
Come intern with one of the largest electrical engineering companies in the world with our Programmable Solutions Group (PSG).
You will work on some aspects of the Intel® Quartus® compile system.
Roles and responsibilities may include working on some of the most difficult and interesting algorithmic problems around.
Qualifications
You must possess the below minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. Experience listed below would be obtained through a combination of your schoolwork/classes/research and/or relevant job and/or internship experiences.
Minimum Requirements:
Must be pursuing a Bachelor's degree in Computer Engineering, Engineering Science, Computer Science, Math, Electrical Engineering, or equivalent.
3+ months of programming experience in C, C++, or Python.
Preferred Qualifications:
Experience with at least one course in digital logic
Inside this Business Group
The Programmable Solutions Group (PSG) was formed from the acquisition of Altera. As part of Intel, PSG will create market-leading programmable logic devices that deliver a wider range of capabilities than customers experience today. Combining Altera's industry-leading FPGA technology and customer support with Intel's world-class semiconductor manufacturing capabilities will enable customers to create the next generation of electronic systems with unmatched performance and power efficiency. PSG takes pride in creating an energetic and dynamic work environment that is driven by ingenuity and innovation. We believe the growth and success of our group is directly linked to the growth and satisfaction of our employees. That is why PSG is committed to a work environment that is flexible and collaborative, and allows our employees to reach their full potential.
Other Locations
Virtual US and Canada
Annual Salary Range for jobs which could be performed in US, Colorado:
$52,000.00-$147,000.00 (Hourly Role)
Benefits:
We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, and benefit programs. Find more information about our Amazing Benefits here
Intel is committed to a culture of accessibility. Intel provides accommodations to applicants and employees with disabilities. Find information and request accommodation here"
24,"Jr. Front End Developer - Burlington, ON - Indeed.com","Position Overview
InvestCloud is looking for a bright individual seeking to expand his/her knowledge and expertise in UX front-end development to join our product team. This position is aimed towards a self-starter with strong analytical and creative tendencies. Although significant web development experience is not required, the ideal candidate must be capable of quickly learning and mastering key concepts.
Key Responsibilities
Produce interactive digital interfaces using proprietary technology
Work with the design team and design tools (e.g. Invision, Sketch, etc) to deliver new screens
Develop web functionality according to business and architecture requirements
Build for desktop, tablet and mobile applications
Implement UX workflows
Participate in brainstorming and other idea-generating team sessions
Work with Project Manager to ensure project completion within budgetary and time constraints
Configure and customize existing products according to client specifications
Multi-task and work efficiently under pressure, with careful attention to detail
Work with the other team members in the project team to ensure deadlines are met
Participate in team stand-ups and provide updates on status of work items in progress
Assist QA and Support with debugging and proposed solutions
Utilize best practices to develop applications in a sustainable, scalable process
What We Look For
Understand of key design principles
Strong problem solving and analytical skills
Strong CSS, and general knowledge of HTML and JavaScript
Excellent communication and interpersonal skills
Organized and accountable
Must demonstrate a passion for UX design and front-end implementation
Ability to learn quickly in a dynamic environment
Exceptional eye for detail, design-minded, with creative flair
Experience with Excel shortcuts a plus
Bachelor’s Degree a plus
Basic knowledge of the financial services industry a plus
InvestCloud Company Culture Highlights
Winner of Comparably's Award for Best Leadership Teams 2019
Winner of Comparably's Award for Best CEOs for Women 2019
Winner of Comparably's Award for Best Company in Los Angeles 2019
Winner of Comparably's Award for Employee Happiness 2019
InvestCloud is ranked in the top 5% of companies for Office Culture on Comparably"
